code,name
e71-il.dat,E71  (5.15%)
e715-il.dat,EPPLER 715 AIRFOIL
e748-il.dat,EPPLER 748 AIRFOIL
e793-il.dat,EPPLER 793 AIRFOIL
e817-il.dat,EPPLER 817 HYDROFOIL AIRFOIL
e818-il.dat,EPPLER 818 HYDROFOIL AIRFOIL
e836-il.dat,EPPLER E836 HYDROFOIL AIRFOIL
e837-il.dat,EPPLER E837 HYDROFOIL AIRFOIL
e838-il.dat,EPPLER E838 HYDROFOIL AIRFOIL
e850-il.dat,EPPLER E850 AIRFOIL
e851-il.dat,EPPLER E851 AIRFOIL
e852-il.dat,EPPLER E852 AIRFOIL
e853-il.dat,EPPLER E853 AIRFOIL
e854-il.dat,EPPLER E854 AIRFOIL
e855-il.dat,EPPLER 855 AIRFOIL
e856-il.dat,EPPLER 856 AIRFOIL
e857-il.dat,EPPLER 857 AIRFOIL
e858-il.dat,EPPLER 858 AIRFOIL
e862-il.dat,EPPLER 862 STRUT AIRFOIL
e863-il.dat,EPPLER 863 STRUT AIRFOIL
e864-il.dat,EPPLER 864 STRUT AIRFOIL
e874-il.dat,EPPLER 874 HYDROFOIL AIRFOIL
e904-il.dat,EPPLER 904 AIRFOIL
e908-il.dat,EPPLER 908 AIRFOIL
ea61009-il.dat,EPPLER EA 6(-1)-009 AIRFOIL
ea61012-il.dat,EPPLER EA 6(-1)-012 AIRFOIL
ea81006-il.dat,EPPLER EA 8(-1)-006 AIRFOIL
ebambino7-il.dat,E. Bambino
ec863914-il.dat,EPPLER EC 86(-3)-914 AIRFOIL
eh0009-il.dat,EH 0.0/9.0
eh1070-il.dat,Eh 1.0/7.0
eh1090-il.dat,EH 1.0/9.0
eh1590-il.dat,EH 1.5/9.0
eh2010-il.dat,EH 2.0/10
eh2012-il.dat,EH 2.0/12
eh2070-il.dat,EH 2.0/7.0
eh2510-il.dat,EH 2.5/10
eh3012-il.dat,EH 3.0/12
eiffel10-il.dat,Eiffel 10 (Wright) - 1903 Wright Flyer airfoil
eiffel371-il.dat,Eiffel 371 (Monge)
eiffel385-il.dat,Eiffel 385 (S.T. Ae)
eiffel428-il.dat,Eiffel 428 (Bleriot)
eiffel430-il.dat,Eiffel 430 (Lachassgne)
esa40-il.dat,ESA40
falcon-il.dat,Falcon
fauvel-il.dat,FAUVEL 14% AIRFOIL
fg1-il.dat,Fage & Collins 1
fg2-il.dat,Fage & Collins 2
fg3-il.dat,Fage & Collins 3
fg4-il.dat,Fage & Collins 4
fx049915-il.dat,WORTMANN FX 049-915 AIRFOIL
fx05188-il.dat,WORTMANN FX 05-188 AIRFOIL
fx05191-il.dat,WORTMANN FX 05-191 AIRFOIL
fx057816-il.dat,WORTMANN FX 057-816
fx05h126-il.dat,WORTMANN FX 05-H-126 AIRFOIL
fx082512-il.dat,WORTMANN FX 082-512 AIRFOIL
fx08s176-il.dat,WORTMANN FX 08-S-176 AIRFOIL
fx2-il.dat,WORTMANN FX 2 AIRFOIL
fx3-il.dat,WORTMANN FX 3 AIRFOIL
fx38153-il.dat,FX 38-153 AIRFOIL
fx60100-il.dat,FX 60-100 AIRFOIL
fx601001-il.dat,FX 60-100 (126) AIRFOIL
fx60100sm-il.dat,FX60-100 10.0% smoothed
fx60126-il.dat,WORTMANN FX 60-126 AIRFOIL
fx601261-il.dat,WORTMANN FX 60-126/1 AIRFOIL
fx60157-il.dat,FX 60-157 AIRFOIL
fx60160-il.dat,FX 60-160 AIRFOIL
fx60177-il.dat,FX 60-177 AIRFOIL
fx61140-il.dat,FX 61-140 AIRFOIL
fx61147-il.dat,FX 61-147 AIRFOIL
fx61163-il.dat,FX 61-163 AIRFOIL
fx61168-il.dat,FX 61-168 AIRFOIL
fx61184-il.dat,FX 61-184 AIRFOIL
fx62k131-il.dat,WORTMANN FX 62-K-131 AIRFOIL
fx62k153-il.dat,FX 62-K-153/20 AIRFOIL
fx63100-il.dat,FX 63-100 AIRFOIL
fx63110-il.dat,FX 63-110 AIRFOIL
fx63120-il.dat,FX 63-120 AIRFOIL
fx63137-il.dat,WORTMANN FX 63-137 AIRFOIL
fx63137sm-il.dat,FX 63-137 13.7% smoothed
fx63143-il.dat,FX 63-143 AIRFOIL
fx63145-il.dat,FX 63-145 AIRFOIL
fx63147-il.dat,FX 63-147 AIRFOIL
fx63158-il.dat,FX 63-158 AIRFOIL
fx6617a2-il.dat,FX 66-17AII-182 AIRFOIL
fx6617ai-il.dat,WORTMANN FX 66-17AII-182 AIRFOIL (AS TESTED AT NASA)
fx66182-il.dat,FX 66-182 AIRFOIL
fx66196v-il.dat,FX 66-S-196 V1 AIRFOIL
fx66a175-il.dat,WORTMANN FX 66-17A-175 AIRFOIL
fx66h60-il.dat,FX 66-H-60
fx66h80-il.dat,FX 66-H-80
fx66s161-il.dat,FX 66-S-161 AIRFOIL
fx66s171-il.dat,FX 66-S-171 AIRFOIL
fx66s196-il.dat,FX 66-S-196 AIRFOIL
fx67k150-il.dat,FX 67-K-150/17 AIRFOIL
fx67k170-il.dat,FX 67-K-170/17 AIRFOIL
fx68h120-il.dat,FX 68-H-120
fx69274-il.dat,WORTMANN FX 69-274
fx69h083-il.dat,BELL/WORTMANN FX 69-H-083 AIRFOIL
fx69h098-il.dat,BELL/WORTMANN FX 69-H-098 AIRFOIL
fx69pr281-il.dat,FX 69-PR-281
fx71089a-il.dat,WORTMANN FX 71-089A AIRFOIL
fx71120-il.dat,WORTMANN FX 71-120 AIRFOIL
fx711520-il.dat,FX 71-L-150/20 AIRFOIL
fx711525-il.dat,FX 71-L-150/25 AIRFOIL
fx711530-il.dat,FX 71-L-150/30 AIRFOIL
fx71l150-il.dat,FX 71-L-150/30 AIRFOIL
fx72150a-il.dat,WORTMANN FX 72-MS-150A AIRFOIL
fx72150b-il.dat,WORTMANN FX 72-MS-150B AIRFOIL
fx72ls160-il.dat,FX 72-LS-160
fx73170-il.dat,WORTMANN FX 73-170
fx73170a-il.dat,WORTMANN FX 73-170 A
fx73cl1152-il.dat,FX 73-CL1-152
fx73cl2152-il.dat,FX 73-CL2-152
fx73cl3152-il.dat,FX 73-CL3-152
fx73k170-il.dat,FX 73-K-170/22
fx74080-il.dat,WORTMANN FX 74-080
fx74130wp1-il.dat,FX 74-130 WP1
fx74130wp2-il.dat,74-130 WP2
fx74130wp2mod-il.dat,74-130 WP2 MOD
fx74cl5140-il.dat,FX74_CL5_140
fx74cl6140-il.dat,FX 74-CL6-140
fx74modsm-il.dat,FX 74-Cl5-140 MOD  (smoothed)
fx75141-il.dat,WORTMANN FX 75-141
fx75193-il.dat,WORTMANN FX 75-193
fx75vg166-il.dat,FX 75-VG-166/22
fx76100-il.dat,WORTMANN FX 76-100
fx76120-il.dat,WORTMANN FX 76-120
fx76mp120-il.dat,FX 76-MP-120
fx76mp140-il.dat,FX 76-MP-140
fx76mp160-il.dat,FX 76-MP-160
fx77080-il.dat,WORTMANN FX 77-080
fx77w121-il.dat,FX 77-W-121
fx77w153-il.dat,WORTMANN FX 77-W-153 AIRFOIL
fx77w258-il.dat,WORTMANN FX 77-W-258 AIRFOIL
fx77w270-il.dat,FX 77-W-270
fx77w270s-il.dat,FX 77-W-270S
fx77w343-il.dat,WORTMANN FX 77-W-343 AIRFOIL
fx78k140-il.dat,FX 78-K-140/20
fx78k140a20-il.dat,FX 78-K-140 A/20
fx78k150-il.dat,FX 78-K-150/20
fx78k161-il.dat,FX 78-K-161
fx78pk188-il.dat,FX 78-PK-188/20
fx79k144-il.dat,WORTMANN FX 79-K-144/17 AIRFOIL
fx79l100-il.dat,FX 79-L-100
fx79l120-il.dat,FX 79-L-120
fx79w151a-il.dat,FX 79-W-151 A
fx79w470a-il.dat,FX 79-W-470A
fx79w660a-il.dat,FX 79-W-660A
fx80080-il.dat,WORTMANN FX 80-080
fx83w108-il.dat,FX 83-W-108
fx83w160-il.dat,FX 83-W-160
fx83w227-il.dat,FX 83-W-227
fx84w097-il.dat,FX 84-W-097
fx84w127-il.dat,FX 84-W-127
fx84w140-il.dat,FX 84-W-140
fx84w150-il.dat,FX 84-W-150
fx84w175-il.dat,FX 84-W-175
fx84w218-il.dat,FX 84-W-218
fxl142k-il.dat,FX LIII-142 K 25 AIRFOIL
fxlv152-il.dat,WORTMANN FX L V-152 AIRFOIL
fxm2-il.dat,WORTMANN FX M2 AIRFOIL
fxs02196-il.dat,FX S 02-196 AIRFOIL
fxs03182-il.dat,FX S 03-182 AIRFOIL
fxs21158-il.dat,FX S 02/1-158 AIRFOIL
geminism-il.dat,GEMINI (smoothed)
giiia-il.dat,GIII BL0 AIRFOIL
giiib-il.dat,GIII BL45 AIRFOIL
giiic-il.dat,GIII BL75 AIRFOIL
giiid-il.dat,GIII BL86 AIRFOIL (modified line 31)
giiie-il.dat,GIII BL126 AIRFOIL
giiif-il.dat,GIII BL145 AIRFOIL
giiig-il.dat,GIII BL167 AIRFOIL
giiih-il.dat,GIII BL207 AIRFOIL
giiii-il.dat,GIII BL288 AIRFOIL
giiij-il.dat,GIII BL332 AIRFOIL
giiik-il.dat,GIII BL369 AIRFOIL
giiil-il.dat,GIII BL387 AIRFOIL
giiim-il.dat,GIII BL430 AIRFOIL
giiin-il.dat,GIII BL450 AIRFOIL
glennmartin2-il.dat,Glenn Martin 2
glennmartin3-il.dat,Glenn Martin 3
glennmartin4-il.dat,Glenn Martin 4
gm15sm-il.dat,GM15 (smoothed)
goe05k-il.dat,GOE 5K AIRFOIL
goe06k-il.dat,GOE 6K AIRFOIL
goe07k-il.dat,GOE 7K AIRFOIL
goe08k-il.dat,GOE 8K AIRFOIL
goe09k-il.dat,GOE 9K AIRFOIL
goe100-il.dat,GOE 100 (SOPWITH) AIRFOIL
goe101-il.dat,GOE 101 AIRFOIL
goe10k-il.dat,GOE 10K AIRFOIL
goe113-il.dat,GOE 113 AIRFOIL
goe114-il.dat,GOE 114 (MVA MK.1) AIRFOIL
goe115-il.dat,GOE 115 (MVA MK.2) AIRFOIL
goe116-il.dat,GOE 116 (MVA MK.3) AIRFOIL
goe117-il.dat,GOE 117 (MVA MK.4) AIRFOIL
goe118-il.dat,GOE 118 (MVA MK.7) AIRFOIL
goe11k-il.dat,GOE 11K AIRFOIL
goe121-il.dat,GOE 121 (MVA H.1) AIRFOIL
goe122-il.dat,GOE 122 (MVA H.2) AIRFOIL
goe123-il.dat,GOE 123 AIRFOIL
goe124-il.dat,GOE 124 (MVA H.4) AIRFOIL
goe12k-il.dat,GOE 12K AIRFOIL
goe133-il.dat,GOE 133 (MVA H.11) AIRFOIL
goe134-il.dat,GOE 134 (MVA H.12) AIRFOIL
goe137-il.dat,GOE 137 (MVA H.15) AIRFOIL
goe13k-il.dat,GOE 13K AIRFOIL
goe14-il.dat,GOE 14 AIRFOIL
goe140-il.dat,GOE 140 (MVA H.17) AIRFOIL
goe142-il.dat,GOE 142 (MVA H.19) AIRFOIL
goe143-il.dat,GOE 143 (MVA H.20) AIRFOIL
goe144-il.dat,GOE 144 (MVA H.21) AIRFOIL
goe147-il.dat,GOE 147 (MVA H.6) AIRFOIL
goe14k-il.dat,GOE 14K AIRFOIL
goe15-il.dat,GOE 15 AIRFOIL
goe155-il.dat,GOE 155 (SSW D.1) AIRFOIL
goe15k-il.dat,GOE 15K AIRFOIL
goe164-il.dat,GOE 164 (MVA MK.10) AIRFOIL
goe165-il.dat,GOE 165 (MVA MK.11) AIRFOIL
goe167-il.dat,GOE 167 (V.KARMAN PROP.2) AIRFOIL
goe16k-il.dat,GOE 16K AIRFOIL
goe173-il.dat,GOE 173 (ALBATROS 6020) AIRFOIL
goe174-il.dat,GOE 174 (ALBATROS 5020) AIRFOIL
goe176-il.dat,GOE 176 (ALBATROS 7020) AIRFOIL
goe177-il.dat,GOE 177 AIRFOIL
goe178-il.dat,GOE 178 AIRFOIL
goe180-il.dat,GOE 180 (MVA H.26) AIRFOIL
goe182-il.dat,GOE 182 (MVA H.27) AIRFOIL
goe184-il.dat,GOE 184 (MVA H.29) AIRFOIL
goe187-il.dat,GOE 187 (SCHTTE-LANZ 2U10) AIRFOIL
goe188-il.dat,GOE 188 (SCHTTE-LANZ 3U10) AIRFOIL
goe190-il.dat,GOE 190 (MVA MK.18) AIRFOIL
goe195-il.dat,GOE 195 AIRFOIL
goe198-il.dat,GOE 198 (L.F.G. 5294) AIRFOIL
goe199-il.dat,GOE 199 (L.F.G. 5406) AIRFOIL
goe207-il.dat,GOE 207 (AVIATIK V8) AIRFOIL
goe210-il.dat,GOE 210 (DAIMLER) AIRFOIL
goe217-il.dat,GOE 217 (MVA MK.12) AIRFOIL
goe222-il.dat,GOE 222 (MVA H.33) AIRFOIL
goe223-il.dat,GOE 223 (MVA H.34) AIRFOIL
goe225-il.dat,GOE 225 (MVA H.35) AIRFOIL
goe226-il.dat,GOE 226 (MVA H.36) AIRFOIL
goe227-il.dat,GOE 227 (MVA H.37) AIRFOIL
goe228-il.dat,GOE 228 (MVA H.38) AIRFOIL
goe229-il.dat,GOE 229 (MVA H.39) AIRFOIL
goe233-il.dat,GOE 233 (MVA CA4) AIRFOIL
goe234-il.dat,GOE 234 (MVA CA5) AIRFOIL
goe235-il.dat,GOE 235 (SCHTTE-LANZ) AIRFOIL
goe238-il.dat,GOE 238 (HANSA-BRANDENBURG) AIRFOIL
goe239-il.dat,GOE 239 (MVA H.31) AIRFOIL
goe240-il.dat,GOE 240 (KOLLER) AIRFOIL
goe241-il.dat,GOE 241 (MVA PR.1) AIRFOIL
goe242-il.dat,GOE 242 (MVA PR.2) AIRFOIL
goe243-il.dat,GOE 243 (MVA PR.3) AIRFOIL
goe244-il.dat,GOE 244 (MVA PR.4) AIRFOIL
goe255-il.dat,GOE 255 (MVA CA.6) AIRFOIL
goe256-il.dat,GOE 256 (JUNKERS E) AIRFOIL
goe257-il.dat,GOE 257 AIRFOIL
goe264-il.dat,GOE 264 AIRFOIL
goe265-il.dat,GOE 265 AIRFOIL
goe269-il.dat,GOE 269 AIRFOIL
goe274-il.dat,GOE 274 (DAIMLER V) AIRFOIL
goe275-il.dat,GOE 275 (DAIMLER VI) AIRFOIL
goe276-il.dat,GOE 276 (DAIMLER VII) AIRFOIL
goe277-il.dat,GOE 277 (DAIMLER VIII) AIRFOIL
goe278-il.dat,GOE 278 (DAIMLER IX) AIRFOIL
goe279-il.dat,GOE 279 (DAIMLER X) AIRFOIL
goe280-il.dat,GOE 280 (DAIMLER XI) AIRFOIL
goe281-il.dat,GOE 281 (DAIMLER XII) AIRFOIL
goe282-il.dat,GOE 282 (DAIMLER XIII) AIRFOIL
goe284-il.dat,GOE 284 AIRFOIL
goe285-il.dat,GOE 285 AIRFOIL
goe286-il.dat,GOE 286 AIRFOIL
goe287-il.dat,GOE 287 AIRFOIL
goe288-il.dat,GOE 288 AIRFOIL
goe289-il.dat,GOE 289 (MVA 289) AIRFOIL
goe290-il.dat,GOE 290 (MVA 290) AIRFOIL
goe298-il.dat,GOE 298 AIRFOIL
goe29b-il.dat,GOE 29B AIRFOIL
goe300-il.dat,GOE 300 (FRIEDRICHSHAFEN G20) AIRFOIL
goe301-il.dat,GOE 301 (FRIEDRICHSHAFEN G 13) AIRFOIL
goe303-il.dat,GOE 303 (FRIEDRICHSHAFEN G03) AIRFOIL
goe304-il.dat,GOE 304 (FRIEDRICHSHAFEN G02) AIRFOIL
goe308-il.dat,GOE 308 (MVA H.40) AIRFOIL
goe309-il.dat,GOE 309 (MVA H.41) AIRFOIL
goe310-il.dat,GOE 310 (MVA H.42) AIRFOIL
goe311-il.dat,GOE 311 (MVA H.43) AIRFOIL
goe314-il.dat,GOE 314 (HANSA-BRANDENBURG) AIRFOIL
goe315-il.dat,GOE 315 (HANSA-BRANDENBURG III.5) AIRFOIL
goe316-il.dat,GOE 316 (HANSA-BRANDENBURG IV.5) AIRFOIL
goe318-il.dat,GOE 318 (HANSA-BRANDENBURG VI.5) AIRFOIL
goe319-il.dat,GOE 319 (HANSA-BRANDENBURG II) AIRFOIL
goe320-il.dat,GOE 320 (HANSA-BRANDENBURG II.1) AIRFOIL
goe321-il.dat,GOE 321 (HANSA-BRANDENBURG III.1) AIRFOIL
goe322-il.dat,GOE 322 (HANSA-BRANDENBURG IV.1) AIRFOIL
goe323-il.dat,GOE 323 (HANSA-BRANDENBURG V.1) AIRFOIL
